Results for phase encoding, tolerance=0.25, grid_grain=10
  Training with exaustive_search method      Error: 0.19091796875 | Iterations: 75
       History of errors:
          Iteration 65: Error: 0.371826171875
          Iteration 66: Error: 0.371826171875
          Iteration 67: Error: 0.371826171875
          Iteration 68: Error: 0.371826171875
          Iteration 69: Error: 0.371826171875
          Iteration 70: Error: 0.371826171875
          Iteration 71: Error: 0.371826171875
          Iteration 72: Error: 0.371826171875
          Iteration 73: Error: 0.371826171875
          Iteration 74: Error: 0.371826171875
          Iteration 75: Error: 0.371826171875
          Iteration 76: Error: 0.348388671875
          Iteration 77: Error: 0.3408203125
          Iteration 78: Error: 0.3408203125
          Iteration 79: Error: 0.3408203125
          Iteration 80: Error: 0.318603515625
          Iteration 81: Error: 0.318603515625
          Iteration 82: Error: 0.318603515625
          Iteration 83: Error: 0.318603515625
          Iteration 84: Error: 0.308349609375
          Iteration 85: Error: 0.308349609375
          Iteration 86: Error: 0.308349609375
          Iteration 87: Error: 0.3056640625
          Iteration 88: Error: 0.30517578125
          Iteration 89: Error: 0.30517578125
          Iteration 90: Error: 0.30517578125
          Iteration 91: Error: 0.30517578125
          Iteration 92: Error: 0.302978515625
          Iteration 93: Error: 0.298095703125
          Iteration 94: Error: 0.298095703125
          Iteration 95: Error: 0.298095703125
          Iteration 96: Error: 0.298095703125
          Iteration 97: Error: 0.298095703125
          Iteration 98: Error: 0.298095703125
          Iteration 99: Error: 0.298095703125
          Iteration 100: Error: 0.298095703125
          Iteration 101: Error: 0.298095703125
          Iteration 102: Error: 0.298095703125
          Iteration 103: Error: 0.298095703125
          Iteration 104: Error: 0.298095703125
          Iteration 105: Error: 0.298095703125
          Iteration 106: Error: 0.298095703125
          Iteration 107: Error: 0.298095703125
          Iteration 108: Error: 0.298095703125
          Iteration 109: Error: 0.288330078125
          Iteration 110: Error: 0.288330078125
          Iteration 111: Error: 0.288330078125
          Iteration 112: Error: 0.288330078125
          Iteration 113: Error: 0.28076171875
          Iteration 114: Error: 0.28076171875
          Iteration 115: Error: 0.28076171875
          Iteration 116: Error: 0.28076171875
          Iteration 117: Error: 0.28076171875
          Iteration 118: Error: 0.28076171875
          Iteration 119: Error: 0.28076171875
          Iteration 120: Error: 0.277099609375
          Iteration 121: Error: 0.277099609375
          Iteration 122: Error: 0.277099609375
          Iteration 123: Error: 0.270263671875
          Iteration 124: Error: 0.270263671875
          Iteration 125: Error: 0.270263671875
          Iteration 126: Error: 0.270263671875
          Iteration 127: Error: 0.26904296875
          Iteration 128: Error: 0.26904296875
          Iteration 129: Error: 0.26904296875
          Iteration 130: Error: 0.26904296875
          Iteration 131: Error: 0.260986328125
          Iteration 132: Error: 0.260986328125
          Iteration 133: Error: 0.25146484375
          Iteration 134: Error: 0.25146484375
          Iteration 135: Error: 0.25146484375
          Iteration 136: Error: 0.23876953125
  Training with genetic_algorithm method      Error: 0.23388671875 | Iterations: 6
       History of errors:
          Iteration 1: Error: 0.26953125
          Iteration 2: Error: 0.411865234375
          Iteration 3: Error: 0.28076171875
          Iteration 4: Error: 0.28173828125
          Iteration 5: Error: 0.271240234375
          Iteration 6: Error: 0.23388671875
