Results for phase encoding, tolerance=0.25, grid_grain=10
  Training with exaustive_search method      Error: 0.243408203125 | Iterations: 9
       History of errors:
          Iteration 45: Error: 0.49853515625
          Iteration 46: Error: 0.484130859375
          Iteration 47: Error: 0.4677734375
          Iteration 48: Error: 0.4677734375
          Iteration 49: Error: 0.4677734375
          Iteration 50: Error: 0.4677734375
          Iteration 51: Error: 0.4677734375
          Iteration 52: Error: 0.4677734375
          Iteration 53: Error: 0.4599609375
          Iteration 54: Error: 0.4599609375
          Iteration 55: Error: 0.4599609375
          Iteration 56: Error: 0.4599609375
          Iteration 57: Error: 0.4599609375
          Iteration 58: Error: 0.4599609375
          Iteration 59: Error: 0.4599609375
          Iteration 60: Error: 0.4599609375
          Iteration 61: Error: 0.4599609375
          Iteration 62: Error: 0.45361328125
          Iteration 63: Error: 0.45361328125
          Iteration 64: Error: 0.45361328125
          Iteration 65: Error: 0.45361328125
          Iteration 66: Error: 0.45361328125
          Iteration 67: Error: 0.45361328125
          Iteration 68: Error: 0.45361328125
          Iteration 69: Error: 0.45361328125
          Iteration 70: Error: 0.45361328125
          Iteration 71: Error: 0.45361328125
          Iteration 72: Error: 0.45361328125
          Iteration 73: Error: 0.45361328125
          Iteration 74: Error: 0.45361328125
          Iteration 75: Error: 0.45361328125
          Iteration 76: Error: 0.45361328125
          Iteration 77: Error: 0.45361328125
          Iteration 78: Error: 0.45361328125
          Iteration 79: Error: 0.45361328125
          Iteration 80: Error: 0.45361328125
          Iteration 81: Error: 0.45361328125
          Iteration 82: Error: 0.45361328125
          Iteration 83: Error: 0.45361328125
          Iteration 84: Error: 0.45361328125
          Iteration 85: Error: 0.45361328125
          Iteration 86: Error: 0.45361328125
          Iteration 87: Error: 0.45361328125
          Iteration 88: Error: 0.45361328125
          Iteration 89: Error: 0.45361328125
          Iteration 90: Error: 0.45361328125
          Iteration 91: Error: 0.45361328125
          Iteration 92: Error: 0.45361328125
          Iteration 93: Error: 0.45361328125
          Iteration 94: Error: 0.45361328125
          Iteration 95: Error: 0.45361328125
          Iteration 96: Error: 0.45361328125
          Iteration 97: Error: 0.45361328125
          Iteration 98: Error: 0.45361328125
          Iteration 99: Error: 0.45361328125
          Iteration 100: Error: 0.45361328125
          Iteration 101: Error: 0.45361328125
          Iteration 102: Error: 0.45361328125
          Iteration 103: Error: 0.45361328125
          Iteration 104: Error: 0.45361328125
          Iteration 105: Error: 0.45361328125
          Iteration 106: Error: 0.45361328125
          Iteration 107: Error: 0.45361328125
          Iteration 108: Error: 0.45361328125
          Iteration 109: Error: 0.45361328125
          Iteration 110: Error: 0.45361328125
          Iteration 111: Error: 0.45361328125
          Iteration 112: Error: 0.45361328125
          Iteration 113: Error: 0.45361328125
          Iteration 114: Error: 0.45361328125
          Iteration 115: Error: 0.45361328125
          Iteration 116: Error: 0.45361328125
          Iteration 117: Error: 0.45361328125
          Iteration 118: Error: 0.45361328125
          Iteration 119: Error: 0.45361328125
          Iteration 120: Error: 0.45361328125
          Iteration 121: Error: 0.45361328125
          Iteration 122: Error: 0.45361328125
          Iteration 123: Error: 0.45361328125
          Iteration 124: Error: 0.45361328125
          Iteration 125: Error: 0.45361328125
          Iteration 126: Error: 0.45361328125
          Iteration 127: Error: 0.45361328125
          Iteration 128: Error: 0.45361328125
          Iteration 129: Error: 0.45361328125
          Iteration 130: Error: 0.45361328125
          Iteration 131: Error: 0.45361328125
          Iteration 132: Error: 0.45361328125
          Iteration 133: Error: 0.45361328125
          Iteration 134: Error: 0.45361328125
          Iteration 135: Error: 0.45361328125
          Iteration 136: Error: 0.45361328125
  Training with genetic_algorithm method      Error: 0.207763671875 | Iterations: 1
       History of errors:
          Iteration 1: Error: 0.207763671875
